time,step,train_loss
2022-11-03,0,2.92691
2022-11-03,10,2.60559
2022-11-03,20,2.14312
2022-11-03,30,2.29038
2022-11-03,40,2.15353
2022-11-03,50,2.26558
2022-11-03,60,2.16810
2022-11-03,70,2.00169
2022-11-03,80,2.06365
2022-11-03,90,2.07784
2022-11-03,100,2.07179
2022-11-03,110,1.96594
2022-11-03,120,2.04936
2022-11-03,130,2.07355
2022-11-03,140,1.90255
2022-11-03,150,2.02989
2022-11-03,160,1.98766
2022-11-03,170,1.95397
2022-11-03,180,2.04948
2022-11-03,190,2.19131
2022-11-03,200,1.96518
2022-11-03,210,1.99579
2022-11-03,220,1.98036
2022-11-03,230,2.30101
2022-11-03,240,2.03880
2022-11-03,250,2.05382
2022-11-03,260,2.01941
2022-11-03,270,2.09893
2022-11-03,280,1.81172
2022-11-03,290,2.04981
2022-11-03,300,1.63973
2022-11-03,310,2.11164
2022-11-03,320,1.78583
2022-11-03,330,2.09947
2022-11-03,340,1.92685
2022-11-03,350,1.94833
2022-11-03,360,2.05138
2022-11-03,370,2.16879
2022-11-03,380,1.81969
2022-11-03,390,1.72725
2022-11-03,400,2.08285
2022-11-03,410,2.05221
2022-11-03,420,1.69588
2022-11-03,429,2.20605
2022-11-03,439,3.08262
2022-11-03,449,2.53973
2022-11-03,459,2.16434
2022-11-03,469,1.95599
2022-11-03,479,2.03883
2022-11-03,489,2.01483
2022-11-03,499,2.08529
2022-11-03,509,2.07129
2022-11-03,519,2.04851
2022-11-03,529,2.14009
2022-11-03,539,2.08166
2022-11-03,549,2.08830
2022-11-03,559,1.96030
2022-11-03,569,1.94005
2022-11-03,579,1.94547
2022-11-03,589,2.00093
2022-11-03,599,1.99411
2022-11-03,609,1.98568
2022-11-03,619,2.08916
2022-11-03,629,1.94030
2022-11-03,639,2.04375
2022-11-03,649,1.90762
2022-11-03,659,1.84406
2022-11-03,669,1.84606
2022-11-03,679,1.84782
2022-11-03,689,1.94675
2022-11-03,699,1.97155
2022-11-03,709,1.85950
2022-11-03,719,2.23475
2022-11-03,729,2.08132
2022-11-03,739,1.86776
2022-11-03,749,1.91940
2022-11-03,759,1.82262
2022-11-03,769,1.63788
2022-11-03,779,1.93857
2022-11-03,789,1.95458
2022-11-03,799,1.91061
2022-11-03,809,2.00488
2022-11-03,819,1.83200
2022-11-03,829,1.97031
2022-11-03,839,1.79381
2022-11-03,849,1.69187
2022-11-03,858,1.83929
2022-11-03,868,2.99340
2022-11-03,878,2.12782
2022-11-03,888,1.99409
2022-11-03,898,2.04254
2022-11-03,908,2.08040
2022-11-03,918,1.89146
2022-11-03,928,2.05300
2022-11-03,938,1.88328
2022-11-03,948,1.94293
2022-11-03,958,1.88104
2022-11-03,968,2.01665
2022-11-03,978,1.96335
2022-11-03,988,2.02134
2022-11-03,998,1.88555
2022-11-03,1008,1.92841
2022-11-03,1018,2.00790
2022-11-03,1028,1.95573
2022-11-03,1038,1.80699
2022-11-03,1048,1.72957
2022-11-03,1058,1.96364
2022-11-03,1068,1.59171
2022-11-03,1078,1.81594
2022-11-03,1088,1.57173
2022-11-03,1098,2.02909
2022-11-03,1108,1.63116
2022-11-03,1118,1.82387
2022-11-03,1128,1.70246
2022-11-03,1138,2.06139
2022-11-03,1148,1.97669
2022-11-03,1158,1.79059
2022-11-03,1168,1.74676
2022-11-03,1178,1.73187
2022-11-03,1188,1.70857
2022-11-03,1198,1.55214
2022-11-03,1208,1.83596
2022-11-03,1218,1.78301
2022-11-03,1228,1.91667
2022-11-03,1238,1.86477
2022-11-03,1248,1.78137
2022-11-03,1258,2.06515
2022-11-03,1268,1.72620
2022-11-03,1278,1.99856
2022-11-03,1287,1.68853
2022-11-03,1297,4.41781
2022-11-03,1307,2.48673
2022-11-03,1317,1.94535
2022-11-03,1327,2.12630
2022-11-03,1337,1.91997
2022-11-03,1347,1.94685
2022-11-03,1357,1.93683
2022-11-03,1367,1.92368
2022-11-03,1377,1.79953
2022-11-03,1387,1.91867
2022-11-03,1397,1.87263
2022-11-03,1407,1.98922
2022-11-03,1417,1.89470
2022-11-03,1427,2.09552
2022-11-03,1437,1.78403
2022-11-03,1447,1.71565
2022-11-03,1457,1.81328
2022-11-03,1467,1.72469
2022-11-03,1477,1.84856
2022-11-03,1487,1.79821
2022-11-03,1497,1.69804
2022-11-03,1507,1.90171
2022-11-03,1517,1.80021
2022-11-03,1527,1.78994
2022-11-03,1537,1.97993
2022-11-03,1547,1.68057
2022-11-03,1557,1.80006
2022-11-03,1567,1.86036
2022-11-03,1577,1.73605
2022-11-03,1587,1.75906
2022-11-03,1597,1.71825
2022-11-03,1607,1.74498
2022-11-03,1617,1.79711
2022-11-03,1627,1.85387
2022-11-03,1637,1.73379
2022-11-03,1647,1.56718
2022-11-03,1657,1.47289
2022-11-03,1667,1.75582
2022-11-03,1677,1.65806
2022-11-03,1687,1.81348
2022-11-03,1697,1.72705
2022-11-03,1707,1.61886
2022-11-03,1716,1.73128
2022-11-03,1726,3.02313
2022-11-03,1736,1.81881
2022-11-03,1746,1.96278
2022-11-03,1756,1.86104
2022-11-03,1766,2.04708
2022-11-03,1776,1.90049
2022-11-03,1786,1.80626
2022-11-03,1796,1.89477
2022-11-03,1806,1.75785
2022-11-03,1816,1.78585
2022-11-03,1826,1.82982
2022-11-03,1836,1.85585
2022-11-03,1846,1.74995
2022-11-03,1856,1.58842
2022-11-03,1866,1.61074
2022-11-03,1876,1.64143
2022-11-03,1886,1.65755
2022-11-03,1896,1.50368
2022-11-03,1906,1.74448
2022-11-03,1916,1.63931
2022-11-03,1926,1.82078
2022-11-03,1936,1.59886
2022-11-03,1946,1.84604
2022-11-03,1956,1.66705
2022-11-03,1966,1.83417
2022-11-03,1976,1.64884
2022-11-03,1986,1.94238
2022-11-03,1996,1.48463
2022-11-03,2006,1.60108
2022-11-03,2016,1.70837
2022-11-03,2026,1.70039
2022-11-03,2036,1.70965
2022-11-03,2046,1.84403
2022-11-03,2056,1.60906
2022-11-03,2066,1.67393
2022-11-03,2076,1.91677
2022-11-03,2086,1.80923
2022-11-03,2096,1.56407
2022-11-03,2106,1.49705
2022-11-03,2116,1.71821
2022-11-03,2126,1.65654
2022-11-03,2136,1.79086
2022-11-03,2145,1.59192
2022-11-03,2155,3.26240
2022-11-03,2165,2.68016
2022-11-03,2175,1.94749
2022-11-03,2185,1.77433
2022-11-03,2195,1.90428
2022-11-03,2205,1.73713
2022-11-03,2215,1.82832
2022-11-03,2225,1.80875
2022-11-03,2235,1.73923
2022-11-03,2245,1.85212
2022-11-03,2255,1.61562
2022-11-03,2265,1.83312
2022-11-03,2275,1.63124
2022-11-03,2285,1.71873
2022-11-03,2295,1.78224
2022-11-03,2305,1.80595
2022-11-03,2315,1.45592
2022-11-03,2325,1.60999
2022-11-03,2335,1.68170
2022-11-03,2345,1.80227
2022-11-03,2355,1.88555
2022-11-03,2365,1.69498
2022-11-03,2375,1.71999
2022-11-03,2385,1.65168
2022-11-03,2395,1.61636
2022-11-03,2405,1.72312
2022-11-03,2415,1.53452
2022-11-03,2425,1.50556
2022-11-03,2435,1.53521
2022-11-03,2445,1.69719
2022-11-03,2455,1.67974
2022-11-03,2465,1.73023
2022-11-03,2475,1.75758
2022-11-03,2485,1.61626
2022-11-03,2495,1.60911
2022-11-03,2505,1.78397
2022-11-03,2515,1.67921
2022-11-03,2525,1.58617
2022-11-03,2535,1.54077
2022-11-03,2545,1.48512
2022-11-03,2555,1.64303
2022-11-03,2565,1.63380
2022-11-03,2574,1.43628
2022-11-03,2584,4.38783
2022-11-03,2594,2.78287
2022-11-03,2604,2.02907
2022-11-03,2614,1.72212
2022-11-03,2624,2.07030
2022-11-03,2634,1.90054
2022-11-03,2644,1.87489
2022-11-03,2654,1.80546
2022-11-03,2664,1.91948
2022-11-03,2674,1.69049
2022-11-03,2684,1.77795
2022-11-03,2694,1.81424
2022-11-03,2704,1.79433
2022-11-03,2714,1.49152
2022-11-03,2724,1.86123
2022-11-03,2734,1.47329
2022-11-03,2744,1.53780
2022-11-03,2754,1.76312
2022-11-03,2764,1.63294
2022-11-03,2774,1.66503
2022-11-03,2784,1.56187
2022-11-03,2794,1.50453
2022-11-03,2804,1.76100
