time,step,train_loss,train_acc,val_loss,val_acc
2022-08-13,1,13.27952,0.00000,11.02767,0.00000
2022-08-13,2,10.74630,0.00000,10.66600,0.00000
2022-08-13,3,10.46514,0.00000,10.32590,0.00000
2022-08-13,4,9.90877,0.00000,9.73254,0.00000
2022-08-13,5,9.36947,0.00000,9.66943,0.00000
2022-08-13,6,8.91414,0.00000,39.71590,0.00000
2022-08-13,7,5.31646,0.29393,1.43042,0.74945
2022-08-13,8,1.04023,0.82968,0.80374,0.85284
2022-08-13,9,0.66040,0.88514,0.48318,0.89989
2022-08-13,10,0.49642,0.91462,0.52379,0.89387
2022-08-13,11,0.48188,0.91652,0.48560,0.90810
2022-08-13,12,0.39210,0.92644,0.39829,0.92232
2022-08-13,13,0.36293,0.93681,0.42317,0.91630
2022-08-13,14,0.32783,0.94264,0.35415,0.93545
2022-08-13,15,0.31504,0.95053,0.40118,0.91794
2022-08-13,16,0.29982,0.95169,0.30100,0.93654
2022-08-13,17,0.28019,0.95388,0.25423,0.94803
2022-08-13,18,0.27736,0.95651,0.35385,0.93545
2022-08-13,19,0.20484,0.96979,0.35633,0.93654
2022-08-13,20,0.23914,0.96162,0.28674,0.94365
