time,step,train_loss,train_acc,val_loss,val_acc
2022-08-25,1,13.40598,0.00000,11.00055,0.00000
2022-08-25,2,10.66175,0.00000,10.64107,0.00000
2022-08-25,3,10.48616,0.00000,10.53263,0.00000
2022-08-25,4,10.22024,0.00000,10.78156,0.00000
2022-08-25,5,9.32862,0.00131,8.91706,0.00438
2022-08-25,6,8.47435,0.00438,8.52545,0.00438
2022-08-25,7,7.84287,0.00555,7.74087,0.01258
2022-08-25,8,6.94091,0.02350,6.91429,0.03446
2022-08-25,9,5.41685,0.08304,5.23698,0.12801
2022-08-25,10,3.58217,0.24606,3.47636,0.32330
2022-08-25,11,2.54118,0.38952,2.98720,0.44639
2022-08-25,12,1.79728,0.64200,2.35856,0.74398
2022-08-25,13,1.26713,0.80809,2.30190,0.75875
2022-08-25,14,1.08160,0.84005,2.08965,0.81400
2022-08-25,15,0.92974,0.86865,2.10466,0.80142
2022-08-25,16,0.84076,0.88398,2.12005,0.83315
2022-08-25,17,0.80100,0.89113,1.99385,0.85613
2022-08-25,18,0.69840,0.91112,2.11841,0.85339
2022-08-25,19,0.67631,0.91243,2.25534,0.79869
2022-08-25,20,0.69402,0.91229,2.14324,0.84847
