time,step,train_loss,train_acc,val_loss,val_acc
2022-08-14,1,13.18631,0.00000,11.10110,0.00000
2022-08-14,2,10.96522,0.00000,11.07585,0.00000
2022-08-14,3,10.96082,0.00000,11.10925,0.00000
2022-08-14,4,10.93870,0.00000,10.89864,0.00000
2022-08-14,5,10.73153,0.00000,10.93594,0.00000
2022-08-14,6,10.53516,0.00000,10.67766,0.00000
2022-08-14,7,10.59610,0.00000,10.63367,0.00000
2022-08-14,8,10.42681,0.00000,11.05471,0.00000
2022-08-14,9,9.99613,0.00000,46.85274,0.00000
2022-08-14,10,8.07438,0.01445,30.88500,0.06893
